DroppedCount,BlockedCount
235,168
243,148
217,148
226,172
217,148
245,143
259,180
257,159
273,160
221,130
230,157
248,189
218,173
245,142
254,145
198,158
232,133
258,155
229,131
248,148
200,172
270,157
234,138
236,161
274,154
245,159
263,165
242,155
211,139
282,190
223,153
254,162
239,167
245,159
223,153
224,153
238,131
192,113
236,154
259,149
297,177
258,142
182,133
177,164
266,141
212,158
221,140
221,134
246,166
238,153
232,151
239,155
254,166
237,133
269,148
208,143
194,154
254,170
213,149
282,139
216,119
234,180
208,145
199,174
260,162
227,156
237,149
222,153
211,164
190,143
235,150
251,156
229,153
245,153
239,178
241,162
218,148
248,156
212,156
252,163
209,120
248,154
255,168
246,145
229,141
218,148
229,162
206,161
245,150
232,148
262,179
259,158
200,122
213,117
217,129
221,131
247,141
232,144
236,121
222,143
252,178
249,169
204,143
227,133
239,169
221,137
218,141
271,130
258,187
220,150
246,148
242,155
240,137
241,175
226,123
206,127
275,173
207,145
224,142
247,137
239,179
247,162
214,149
232,132
242,109
269,170
227,132
248,166
249,153
238,169
244,175
216,131
245,160
217,152
208,152
261,151
258,165
221,154
245,158
235,162
210,150
236,179
214,167
262,149
239,157
257,154
216,129
262,193
254,156
203,136
203,125
231,146
263,151
224,159
235,134
259,181
244,136
273,182
212,151
222,141
203,144
211,145
205,144
252,138
231,152
243,168
239,148
249,166
243,153
209,135
239,147
233,149
232,148
248,143
250,179
222,157
244,180
248,154
235,178
248,162
249,167
255,175
247,166
241,151
263,152
281,172
212,138
233,138
198,150
228,163
282,172
257,153
216,126
222,156
209,166
280,177
244,157
232,157
261,174
252,151
200,142
229,140
251,147
231,147
196,162
256,141
220,153
228,150
234,147
213,132
271,168
220,138
220,166
249,152
235,140
226,139
269,159
192,131
248,149
264,162
251,171
232,153
272,128
230,155
208,133
241,176
217,149
195,128
267,140
194,131
239,164
217,152
268,172
218,169
245,175
261,180
203,128
202,144
239,167
243,148
184,112
216,132
213,168
251,142
265,151
246,151
261,182
214,151
234,164
198,134
250,129
234,143
223,116
252,147
238,150
228,144
226,138
274,171
212,132
271,154
280,174
251,164
216,158
246,150
247,155
278,186
249,164
193,136
258,162
248,155
210,160
235,149
246,150
235,146
247,159
246,163
239,152
228,175
225,133
222,144
227,162
241,141
278,146
240,119
288,199
246,147
248,164
264,159
251,131
263,169
217,168
289,182
254,176
237,139
206,149
232,157
213,163
197,119
238,153
290,179
248,146
231,163
257,168
205,139
227,171
231,148
240,183
225,155
239,153
292,180
231,157
216,105
229,151
256,151
239,166
231,136
230,149
268,184
178,147
264,149
246,157
262,153
289,164
226,141
214,136
220,157
254,157
224,154
225,158
241,174
262,143
244,153
232,160
203,147
233,144
285,144
235,152
211,140
241,173
221,140
179,131
257,170
213,155
206,156
221,147
240,140
202,148
220,156
222,155
214,149
234,151
230,137
241,158
243,156
249,156
204,145
264,155
196,148
235,138
253,158
203,124
252,174
243,155
216,160
234,152
244,137
244,145
256,175
250,144
217,166
210,130
235,130
248,185
221,137
219,145
202,171
201,133
265,145
240,156
234,157
228,112
233,125
223,150
286,157
264,188
238,159
260,160
238,158
265,156
240,136
257,173
231,162
275,172
229,141
232,146
219,140
249,152
196,129
229,153
231,158
225,154
262,167
242,155
315,184
260,160
200,122
230,159
244,159
262,149
244,147
227,144
235,172
236,132
247,113
229,121
240,141
262,177
282,181
222,139
236,167
198,146
232,145
260,169
230,133
242,173
250,141
250,172
252,137
242,178
227,122
239,129
241,158
228,163
246,146
231,152
215,149
248,173
224,172
249,146
260,155
226,141
213,146
219,150
276,160
229,148
237,164
244,160
224,142
238,162
247,165
252,159
250,135
256,170
215,163
261,170
214,133
264,157
253,159
275,159
204,127
277,170
224,158
230,192
195,125
220,155
243,140
235,158
189,132
233,148
213,151
227,138
222,151
261,187
281,181
251,159
293,150
233,157
248,173
213,136
218,149
237,160
229,151
231,155
202,145
223,119
252,159
256,168
224,153
267,175
220,131
215,151
217,152
205,133
254,141
248,140
244,155
217,153
256,175
299,164
228,165
