DroppedCount,BlockedCount
55,57
46,45
27,38
44,58
39,43
47,48
42,62
53,50
69,54
35,36
39,35
55,64
38,57
37,47
33,63
22,56
33,49
44,61
29,55
40,43
38,47
65,43
29,48
46,33
47,46
44,67
50,39
42,53
32,44
47,78
36,43
56,53
43,50
50,60
40,56
59,45
49,40
19,48
40,53
51,53
66,62
26,60
48,43
24,60
50,49
29,46
43,51
49,43
37,48
50,56
22,49
42,47
54,51
37,41
44,48
34,43
26,37
45,56
24,63
49,60
29,41
51,65
33,52
26,70
41,60
36,46
35,53
33,49
29,65
29,39
50,47
30,48
34,36
54,55
53,55
41,60
36,58
42,52
30,52
32,66
18,46
53,43
44,41
38,46
47,50
41,49
37,62
29,62
46,45
39,59
64,73
51,53
29,41
44,43
52,35
41,40
44,42
39,44
33,45
40,45
43,63
59,51
45,44
31,62
42,43
41,47
38,56
45,41
57,72
38,50
47,69
41,60
44,49
51,58
39,43
52,39
75,49
22,47
43,40
50,46
49,63
48,48
31,47
38,43
29,32
44,59
41,42
40,45
30,49
50,52
40,70
40,45
46,57
43,51
40,62
53,54
50,59
42,49
49,41
54,39
38,61
51,52
43,54
65,54
34,56
45,71
37,44
57,70
53,41
40,39
40,31
34,65
58,40
39,40
25,65
43,56
38,56
50,49
38,52
51,44
35,45
41,44
46,52
46,49
32,48
45,56
37,50
35,72
40,61
35,38
43,53
37,45
53,48
48,33
49,64
48,59
31,64
51,52
53,67
42,52
47,50
53,45
51,54
47,51
47,56
47,42
29,52
29,35
45,55
43,55
57,61
37,51
30,48
39,54
40,55
69,47
37,54
44,47
42,57
47,38
49,59
26,50
40,48
48,56
29,48
55,45
27,52
42,53
53,31
33,47
40,65
39,52
54,49
54,49
39,32
40,38
57,57
22,36
52,47
53,61
56,65
40,43
45,37
46,50
33,52
45,51
31,45
36,33
58,43
30,53
52,72
48,55
51,50
42,57
54,58
51,58
33,48
36,63
32,65
42,44
21,35
34,46
36,54
44,52
48,51
40,47
38,73
41,55
51,61
38,39
32,48
33,44
37,36
56,40
44,33
37,44
33,38
55,67
26,49
55,45
59,61
47,53
39,44
33,43
43,55
56,54
46,73
32,43
42,47
55,66
38,44
44,50
52,45
48,47
61,60
47,57
31,50
45,45
33,43
27,48
34,64
50,40
37,43
40,42
75,67
57,39
53,54
58,41
48,52
46,62
29,45
63,49
32,77
54,43
43,38
51,45
32,47
22,40
34,69
40,75
48,41
57,41
54,54
34,38
44,42
44,37
47,74
52,51
46,51
48,69
40,51
32,27
32,66
58,56
42,58
50,31
34,59
59,56
23,54
52,50
49,43
52,48
58,48
28,57
25,54
45,49
34,48
46,51
45,51
54,59
36,39
33,61
37,46
35,45
52,61
39,41
43,54
44,46
35,64
34,33
13,49
47,62
39,41
27,60
51,50
40,52
28,69
43,54
42,55
29,49
50,53
48,39
48,53
46,53
48,46
47,50
39,43
36,60
41,45
35,69
38,51
48,51
47,70
41,72
53,43
49,46
45,63
50,49
44,63
33,67
25,50
41,46
39,56
37,37
38,51
47,47
30,44
55,36
48,47
33,49
33,36
34,40
26,45
64,48
58,63
46,55
42,53
40,64
57,54
36,49
56,48
35,70
40,56
36,53
43,47
21,44
49,43
33,40
39,52
36,57
52,39
37,59
38,52
80,68
55,43
37,25
26,49
29,58
56,48
34,43
41,48
39,59
35,50
58,36
29,41
26,42
60,62
70,52
35,51
46,53
45,46
23,64
48,53
46,44
49,60
51,52
32,53
54,41
33,56
32,43
48,27
31,43
36,53
59,39
28,65
37,46
52,49
56,49
29,50
59,53
44,39
38,42
35,39
53,57
41,52
44,47
41,34
25,32
36,71
43,55
53,52
55,39
44,64
44,53
61,63
37,32
66,58
22,54
50,56
34,45
61,51
36,58
41,64
42,38
43,48
48,47
65,44
31,38
37,48
35,56
40,42
51,39
53,66
61,56
54,60
52,35
54,55
58,63
36,55
28,55
47,46
35,48
50,56
29,50
45,59
28,65
47,61
58,43
63,60
45,38
49,58
38,56
48,48
38,39
38,51
56,47
39,53
55,40
53,72
36,61
